name,price,rating,urls,details,_id
Lenovo 100w Gen 3 AMD 3015e 4GB RAM 128GB 11.6 Inch Windows 11 SE Laptop,£144.97,51%,https://www.laptopsdirect.co.uk/lenovo-100w-gen-3-amd-3015e-4gb-ram-128gb-11.6-inch-windows-11s-laptop-82hy000puk/version.asp,"3000 Series 3015e Processor, Radeon Graphics Graphics card, 11.6 Inch 1366 x 768 Screen, 4GB RAM, 128GB SSD",650b4bf8424970cd85c38987
Refurbished HP EliteBook 820 G3 Core i5 6th Gen 8GB 256GB 12.5 Inch Windows 10 Professional Laptop,£189.97,Excellent Condition,https://www.laptopsdirect.co.uk/refurbished-hp-elitebook-820-g3-core-i5-6th-gen-8gb-256gb-12.5-inch-windows-t1-820g3i58gb256gbw10p/version.asp,"Intel Core i5 Processor, 12.5 Inch 1366 x 768 Screen, 8GB RAM, 256GB SSD, 1 year warranty",650b4bf8424970cd85c38988
Acer Extensa 15 AMD Ryzen 5 16GB RAM 512GB SSD 15.6 Inch Windows 11 Laptop,£499.97,AMD Ryzen 5 7520U,https://www.laptopsdirect.co.uk/acer-extensa-15-amd-ryzen-5-16gb-ram-512gb-ssd-15.6-inch-windows-11-laptop-nx.eh3ek.009/version.asp,"AMD Ryzen 5 7520U Processor, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD, 1 year warranty",650b4bf8424970cd85c38989
Dell Vostro 5320 Intel Core i5-1240P 8GB 256GB SSD Iris Xe Graphics 13.3 Inch Windows 10 Pro Laptop,£479.97,43%,https://www.laptopsdirect.co.uk/dell-vostro-5320-i5-1240p-adl-p-i5-cpu-u28-8g-mem-hw-tpm-evo-label-8-gb-lpd-0yptc/version.asp,"Intel Core i5 1240P Processor, Iris Xe Graphics Graphics card, 13.3 Inch 1920 x 1200 Screen, 8GB RAM, 256GB SSD",650b4bf8424970cd85c3898a
Lenovo V15 G3 IAP 82TT Intel Core i5-1235U 8GB 256GB SSD 15.6 Inch Windows 11 Home Laptop,£417.97,22%,https://www.laptopsdirect.co.uk/-82tt000euk/version.asp,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",650b4bf8424970cd85c3898b
Refurbished HP 14s-fq0059na AMD Athlon 3020e 4GB 64GB 14 Inch Windows 11 Laptop,£129.97,7%,https://www.laptopsdirect.co.uk/refurbished-hp-14s-fq0059na-amd-3020e-4gb-64gb-14-inch-windows-11-laptop-a1-6t9q8ea/version.asp,"AMD Athlon 3020E Processor, 14 Inch 1366 x 768 Screen, 4GB RAM, 64GB SSD, 3 Month Warranty",650b4bf8424970cd85c3898c
Hewlett Packard HP 250 G9 Laptop Intel Core i5 8GB RAM 512GB SSD 15.6 Inch FHD Windows 11 Home Laptop,£439.97,12%,https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i5-8gb-512-ssd-fhd-windows-11-home-6q8c5es/version.asp,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",650b4bf8424970cd85c3898d
HP 255 G9 AMD Ryzen 5 8GB RAM 512GB SSD 15.6 Inch FHD Windows 11 Laptop,£414.97,14%,https://www.laptopsdirect.co.uk/hp-255-g9-amd-r5-5625u-8gb-512gb-ssd-15-inch-fhd-windows-11-home-laptop-6q8c1es/version.asp,"AMD Ryzen 5 5625U Processor, Radeon Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 512GB SSD",650b4bf8424970cd85c3898e
Medion Akoya E15411 Intel Core i3 8GB RAM 256GB RAM SSD 15.6 Inch FHD Windows 11 Laptop,£299.97,14%,https://www.laptopsdirect.co.uk/medion-akoya-nb-e15411intel-core-i3-1115g4-8-gb-256-gb-ssd-15.6-fhd-window-30033828/version.asp,"Intel Core i3 1115G4 Processor, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD, 2 year warranty",650b4bf8424970cd85c3898f
Lenovo ThinkBook 15 G4 IAP 15.6 inch Core i7-1255U 16GB RAM 512GB SSD Windows 11 Pro Laptop,£829.97,19%,https://www.laptopsdirect.co.uk/lenovo-thinkbook-15-g4-iap-15.6-inch-core-i7-1255u-16gb-ram-512gb-ssd-21dj000duk/version.asp,"Intel Core i7 i7-1255U Processor, Intel Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38990
Lenovo ThinkBook 14 G4 Core i7-1255U 16GB 512GB SSD 14 Inch Windows 11 Pro Laptop,£829.97,27%,https://www.laptopsdirect.co.uk/lenovo-thinkbook-14-g4-core-i7-1255u-16gb-512gb-ssd-14-inch-windows-11-pro-21dh000nuk/version.asp,"Intel Core i7 1255U Processor, Iris Xe Graphics Graphics card, 14 Inch Full HD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38991
"Medion Erazer Deputy P25 15.6"" FHD 144Hz AMD Ryzen 5-5600H 16 GB 512 GB  RTX 3060 Windows 11 Home Gaming Laptop",£699.97,28%,https://www.laptopsdirect.co.uk/medion-deputy-p25-ryzen-5-5600h-16gb-512gb-ssd-geforce-rtx-3060-15.6-inch-30033307/version.asp,"AMD Ryzen 5 5600H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38992
ASUS VivoBook 14 Intel Pentium Gold 7505 4GB 128GB SSD 14 Inch Windows 11 Home Laptop,£229.97,42%,https://www.laptopsdirect.co.uk/-x1400ea-ek1651ws/version.asp,"Pentium Gold 7505 Processor, UHD Graphics Graphics card, 14 Inch Full HD Screen, 4GB RAM, 128GB SSD",650b4bf8424970cd85c38993
HP 250 G9 Laptop Intel Core i5-1235U 8GB 256GB  SSD 15.6 Inch FHD Windows 11 Home Laptop,£409.97,9%,https://www.laptopsdirect.co.uk/hp-250-g9-laptop-intel-core-i5-8gb-256-ssd-fhd-windows-11-home-6q8c4es/version.asp,"Intel Core i5 1235U Processor, Iris Xe Graphics Graphics card, 15.6 Inch Full HD Screen, 8GB RAM, 256GB SSD",650b4bf8424970cd85c38994
